14828,Senior Technology Architect,IVS-SS,LT-NOSQL,YPB75AMR4DS,Certified Big Data  NoSQL MongoDB Developer,Technical,Internal,Core,N,17-Feb-17,Offshore,Attended,68,Qualified,,On Demand,13179,Basic
36949,Project Manager,FSADM3,LT-BIGDATA,MVG31ABV3FC,Certified Hadoop Core Developer,Domain,Internal,Core,N,4-Aug-17,Offshore,Attended,68,Qualified,,On Demand,13179,Basic
63712,"Principal - Education, Training & Assessment",ORCALL,LT-DATASCIENCE,KFN64EDP0KS,Certified BigData  R Programmer 101a,Technical,Internal,Specific,N,28-Mar-16,Onsite,Attended,70,Qualified,,On Demand,13179,Basic
70616,Group Project Manager,DNAOH2,LT-BIGDATA,KYV16CNH9ER,Certified Big Data - Hadoop Developer,Technical,Internal,Specific,N,18-Feb-16,Offshore,Absent,0,Not Qualified,,Need Based,13179,Basic
70616,Group Project Manager,DNAOH2,LT-NOSQL,JBC27JLT7WQ,Certified Big Data - NoSQL MongoDB Developer,Domain,Internal,Core,N,23-Mar-16,Offshore,Absent,0,Not Qualified,,Need Based,13179,Basic
70616,Group Project Manager,DNAOH2,LT-BIGDATA,BVI35PQJ4SD,HDP Certified Administrator (HDPCA) Exam,Technical,,Specific,N,29-Jun-16,Offshore,Attended,55,Not Qualified,,Need Based,13179,Basic
86955,Technology Lead,DNADE1,LT-DATASTAX,NVO01UXC8RV,Datastax - Certified Administrator on Apache Cassandra,Technical,External,Core,N,30-Nov-16,Offshore,Attended,63,Qualified,,On Demand,13179,Advanced
90031,Technology Lead,RCLADM2,LT-NOSQL,EYG07BNP3GY,Certified MarkLogic 7 Administrator,Process,External,Specific,N,17-May-16,Offshore,Absent,0,Not Qualified,,Role Based,13179,Advanced
90031,Technology Lead,RCLADM2,LT-NOSQL,ZFU09KGW9OU,Certified BigData NoSQL MongoDB Administrator 301a,Technical,Internal,Core,N,20-Jun-16,Offshore,Absent,0,Not Qualified,,Role Based,13179,Advanced
90031,Technology Lead,RCLADM2,LT-BIGDATA,TEU24FTK8PS,HDP Certified Java Developer (HDPCD-Java) Exam,Technical,External,Specific,N,29-Jun-16,Offshore,Absent,0,Not Qualified,,Role Based,13179,Basic
90031,Technology Lead,RCLADM2,LT-COURSERA,FOD88BMP3XE,Coursera Hadoop Platform and Application Framework,Process,External,Specific,N,30-May-16,Offshore,Attended,65,Qualified,,Role Based,13179,Basic
93583,Technology Lead,RCLADM1,LT-COURSERA,OMK74CMK9NF,Coursera Introduction to Big Data,Technical,External,Specific,N,25-Jan-16,Offshore,Attended,65,Qualified,,Role Based,13179,Basic
95681,Technology Lead,DNADE2,LT-NOSQL,VWQ25MUV8SV,Certified MarkLogic 7 Developer,Technical,External,Specific,N,19-May-16,Offshore,Absent,0,Not Qualified,,On Demand,13179,Basic
95681,Technology Lead,DNADE2,LT-SPLUNK,SHD87WCU5EK,Splunk Certified Power User,Domain,External,Specific,N,24-May-16,Offshore,Attended,63,Qualified,,On Demand,13179,Basic
105543,Technology Lead,DNADE1,LT-BIGDATA,ZKY27LNM7NP,HDP Certified Developer (HDPCD) Exam,Technical,External,Specific,N,21-Sep-17,Offshore,Attended,75,Qualified,,On Demand,13179,Basic
108298,Technology Lead,ENGSP,LT-CLOUDERA,LCB23GCM2SM,Cloudera - CCA Spark and Hadoop Developer,Process,External,Specific,N,18-May-16,Offshore,Attended,65,Qualified,,On Demand,13179,Basic
115744,Project Manager,RCLADM1,LT-COURSERA,ULJ54LDA9LU,Coursera Introduction to Big Data Analytics,Technical,External,Specific,N,2-Sep-16,Offshore,Attended,73,Qualified,,On Demand,13179,Basic
117391,Technology Analyst,DNADE2,LT-DATASTAX,DOV93KSF9FM,Datastax - Certified Developer on Apache Cassandra,Domain,External,Core,N,15-Jun-16,Offshore,Attended,53,Not Qualified,,Role Based,13179,Basic
117391,Technology Analyst,DNADE2,LT-BIGDATA,YJQ28YCZ0HH,Kafka Developer,Domain,Internal,Specific,N,4-Aug-16,Offshore,Attended,63,Qualified,,Role Based,13179,Basic
118625,Technology Analyst,DXEMP,LT-NOSQL,FCH62RED8AR,Certified BigData  Hbase Developer 201a,Domain,Internal,Specific,N,18-Jan-16,Offshore,Absent,0,Not Qualified,,Role Based,13179,Basic
118625,Technology Analyst,DXEMP,LT-BIGDATA,GBM21HTA3SC,Certified BigData Hive Developer 202a,Technical,Internal,Specific,N,22-Jan-16,Offshore,Attended,53,Not Qualified,,Role Based,13179,Basic
118625,Technology Analyst,DXEMP,LT-BIGDATA,NDC58JME3NK,Certified Apache Pig Developer - Basic,Technical,Internal,Specific,N,8-Feb-16,Offshore,Attended,68,Qualified,,Role Based,13179,Basic
125549,Technology Analyst,CISSEC,,BXC11TCP5FS,The Analytics Edge - MITx,Process,External,Specific,N,18-Jan-16,Offshore,Attended,55,Not Qualified,,Need Based,13179,Advanced
125549,Technology Analyst,CISSEC,LT-DATASCIENCE,SHK30IUR8GI,Coursera Machine Learning With Big Data,Technical,External,Specific,N,31-Mar-16,Offshore,Absent,0,Not Qualified,,Need Based,13179,Advanced
125754,Technology Analyst,RCLADM1,LT-DATASCIENCE,TEV64VRW4TG,Coursera R Programming,Technical,External,Specific,N,27-Feb-16,Onsite,Attended,63,Qualified,,Role Based,13179,Advanced
125778,Technology Lead,,LT-NOSQL,RYV14ZJD1CH,C100DEV  MongoDB Certified Developer Associate Exam,Domain,External,Specific,N,29-Apr-16,Offshore,Attended,80,Qualified,Exit Case,Role Based,13179,Basic
125790,Technology Analyst,FNSP,LT-NOSQL,UOB62BNE6NS,C100DBA  MongoDB Certified DBA Associate Exam,Technical,External,Specific,N,21-Mar-16,Offshore,Attended,65,Qualified,,Role Based,13179,Advanced
126960,Technology Lead,EAISSOA,LT-NOSQL,DCJ43RUQ4DT,M101 - MongoDB for Developers,Technical,External,Specific,N,12-Sep-16,Offshore,Attended,63,Qualified,,On Demand,13179,Basic
126960,Technology Lead,EAISSOA,LT-NOSQL,TOG00TAA3BA,M102 MongoDB for DBAs,Process,External,Specific,N,18-Jul-16,Offshore,Attended,68,Qualified,,On Demand,13179,Advanced
126960,Technology Lead,EAISSOA,LT-NOSQL,FWJ91VXH3MB,M202 MongoDB Advanced Deployment and Operations,Technical,External,Specific,N,2-Aug-16,Offshore,Absent,0,Not Qualified,,On Demand,13179,Advanced
