NoSQL,YPB75AMR4DS,Certified Big Data  NoSQL MongoDB Developer,Technical,Internal,Basic
BigData,MVG31ABV3FC,Certified Hadoop Core Developer,Domain,Internal,Basic
Data Science,KFN64EDP0KS,Certified BigData  R Programmer 101a,Technical,Internal,Basic
BigData,KYV16CNH9ER,Certified Big Data - Hadoop Developer,Technical,Internal,Basic
NoSQL,JBC27JLT7WQ,Certified Big Data - NoSQL MongoDB Developer,Domain,Internal,Basic
BigData,BVI35PQJ4SD,HDP Certified Administrator (HDPCA) Exam,Technical,External,Basic
DataStax,NVO01UXC8RV,Datastax - Certified Administrator on Apache Cassandra,Technical,External,Advanced
NoSQL,EYG07BNP3GY,Certified MarkLogic 7 Administrator,Process,External,Advanced
NoSQL,ZFU09KGW9OU,Certified BigData NoSQL MongoDB Administrator 301a,Technical,Internal,Advanced
BigData,TEU24FTK8PS,HDP Certified Java Developer (HDPCD-Java) Exam,Technical,External,Basic
Coursera,FOD88BMP3XE,Coursera Hadoop Platform and Application Framework,Process,External,Basic
Coursera,OMK74CMK9NF,Coursera Introduction to Big Data,Technical,External,Basic
NoSQL,VWQ25MUV8SV,Certified MarkLogic 7 Developer,Technical,External,Basic
Splunk,SHD87WCU5EK,Splunk Certified Power User,Domain,External,Basic
BigData,ZKY27LNM7NP,HDP Certified Developer (HDPCD) Exam,Technical,External,Basic
Cloudera,LCB23GCM2SM,Cloudera - CCA Spark and Hadoop Developer,Process,External,Basic
Coursera,ULJ54LDA9LU,Coursera Introduction to Big Data Analytics,Technical,External,Basic
DataStax,DOV93KSF9FM,Datastax - Certified Developer on Apache Cassandra,Domain,External,Basic
BigData,YJQ28YCZ0HH,Kafka Developer,Domain,Internal,Basic
NoSQL,FCH62RED8AR,Certified BigData  Hbase Developer 201a,Domain,Internal,Basic
BigData,GBM21HTA3SC,Certified BigData Hive Developer 202a,Technical,Internal,Basic
BigData,NDC58JME3NK,Certified Apache Pig Developer - Basic,Technical,Internal,Basic
DataScience,BXC11TCP5FS,The Analytics Edge - MITx,Process,External,Advanced
DataScience,SHK30IUR8GI,Coursera Machine Learning With Big Data,Technical,External,Advanced
DataScience,TEV64VRW4TG,Coursera R Programming,Technical,External,Advanced
NoSQL,RYV14ZJD1CH,C100DEV  MongoDB Certified Developer Associate Exam,Domain,External,Basic
NoSQL,UOB62BNE6NS,C100DBA  MongoDB Certified DBA Associate Exam,Technical,External,Advanced
NoSQL,DCJ43RUQ4DT,M101 - MongoDB for Developers,Technical,External,Basic
NoSQL,TOG00TAA3BA,M102 MongoDB for DBAs,Process,External,Advanced
NoSQL,FWJ91VXH3MB,M202 MongoDB Advanced Deployment and Operations,Technical,External,Advanced
DataScience,OGS97CKU6CV,E20-007 Data Science and Big Data Analytics Exam,Technical,External,Advanced
Cloudera,WKU77PCM5BL,Cloudera Certified Administrator for Apache Hadoop CDH5 CCA-500,Technical,External,Basic
Google,PAE08PYG6TW,Google Analytics certification,Process,External,Advanced
